       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   28847980           1.00
       0.000 0.100000000000   28847980           1.11
       0.000 0.200000000000   28847980           1.25
       0.000 0.300000000000   28847980           1.43
       0.000 0.400000000000   28847980           1.67
       0.000 0.500000000000   28847980           2.00
       0.000 0.550000000000   28847980           2.22
       0.000 0.600000000000   28847980           2.50
       0.000 0.650000000000   28847980           2.86
       0.000 0.700000000000   28847980           3.33
       0.000 0.750000000000   28847980           4.00
       0.000 0.775000000000   28847980           4.44
       0.000 0.800000000000   28847980           5.00
       0.000 0.825000000000   28847980           5.71
       0.000 0.850000000000   28847980           6.67
       0.000 0.875000000000   28847980           8.00
       0.000 0.887500000000   28847980           8.89
       0.000 0.900000000000   28847980          10.00
       0.000 0.912500000000   28847980          11.43
       0.000 0.925000000000   28847980          13.33
       0.000 0.937500000000   28847980          16.00
       0.000 0.943750000000   28847980          17.78
       0.000 0.950000000000   28847980          20.00
       0.000 0.956250000000   28847980          22.86
       0.000 0.962500000000   28847980          26.67
       0.000 0.968750000000   28847980          32.00
       0.000 0.971875000000   28847980          35.56
       0.000 0.975000000000   28847980          40.00
       0.000 0.978125000000   28847980          45.71
       0.000 0.981250000000   28847980          53.33
       0.000 0.984375000000   28847980          64.00
       0.000 0.985937500000   28847980          71.11
       0.000 0.987500000000   28847980          80.00
       0.000 0.989062500000   28847980          91.43
       0.000 0.990625000000   28847980         106.67
       0.000 0.992187500000   28847980         128.00
       0.000 0.992968750000   28847980         142.22
       0.000 0.993750000000   28847980         160.00
       0.000 0.994531250000   28847980         182.86
       0.000 0.995312500000   28847980         213.33
       0.000 0.996093750000   28847980         256.00
       0.000 0.996484375000   28847980         284.44
       0.000 0.996875000000   28847980         320.00
       0.000 0.997265625000   28847980         365.71
       0.000 0.997656250000   28847980         426.67
       0.000 0.998046875000   28847980         512.00
       0.000 0.998242187500   28847980         568.89
       1.000 0.998437500000   28896898         640.00
       1.000 0.998632812500   28896898         731.43
       1.000 0.998828125000   28896898         853.33
       1.000 0.999023437500   28896898        1024.00
       1.000 0.999121093750   28896898        1137.78
       1.000 0.999218750000   28896898        1280.00
       1.000 0.999316406250   28896898        1462.86
       1.000 0.999414062500   28896898        1706.67
       1.000 0.999511718750   28896898        2048.00
       1.000 0.999560546875   28896898        2275.56
       1.000 0.999609375000   28896898        2560.00
       1.000 0.999658203125   28896898        2925.71
       1.000 0.999707031250   28896898        3413.33
       1.000 0.999755859375   28896898        4096.00
       1.000 0.999780273438   28896898        4551.11
       1.000 0.999804687500   28896898        5120.00
       1.000 0.999829101563   28896898        5851.43
       1.000 0.999853515625   28896898        6826.67
       1.000 0.999877929688   28896898        8192.00
       1.000 0.999890136719   28896898        9102.22
       1.000 0.999902343750   28896898       10240.00
       1.000 0.999914550781   28896898       11702.86
       1.000 0.999926757813   28896898       13653.33
       1.000 0.999938964844   28896898       16384.00
       1.000 0.999945068359   28896898       18204.44
       1.000 0.999951171875   28896898       20480.00
       1.000 0.999957275391   28896898       23405.71
       1.000 0.999963378906   28896898       27306.67
       1.000 0.999969482422   28896898       32768.00
       1.000 0.999972534180   28896898       36408.89
       1.000 0.999975585938   28896898       40960.00
       1.000 0.999978637695   28896898       46811.43
       1.000 0.999981689453   28896898       54613.33
       1.000 0.999984741211   28896898       65536.00
       1.000 0.999986267090   28896898       72817.78
       1.000 0.999987792969   28896898       81920.00
       1.000 0.999989318848   28896898       93622.86
       1.000 0.999990844727   28896898      109226.67
       1.000 0.999992370605   28896898      131072.00
       1.000 0.999993133545   28896898      145635.56
       1.000 0.999993896484   28896898      163840.00
       1.000 0.999994659424   28896898      187245.71
       1.000 0.999995422363   28896898      218453.33
       1.000 0.999996185303   28896898      262144.00
       1.000 0.999996566772   28896898      291271.11
       1.000 0.999996948242   28896898      327680.00
       1.000 0.999997329712   28896898      374491.43
       1.000 0.999997711182   28896898      436906.67
       1.000 0.999998092651   28896898      524288.00
       1.000 0.999998283386   28896898      582542.22
       1.000 0.999998474121   28896898      655360.00
       1.000 0.999998664856   28896898      748982.86
       1.000 0.999998855591   28896898      873813.33
       1.000 0.999999046326   28896898     1048576.00
       2.000 0.999999141693   28896910     1165084.44
       2.000 0.999999237061   28896910     1310720.00
       2.000 0.999999332428   28896910     1497965.71
       2.000 0.999999427795   28896910     1747626.67
       7.000 0.999999523163   28896913     2097152.00
       7.000 0.999999570847   28896913     2330168.89
       7.000 0.999999618530   28896913     2621440.00
       8.000 0.999999666214   28896923     2995931.43
       8.000 0.999999713898   28896923     3495253.33
       8.000 0.999999761581   28896923     4194304.00
       8.000 0.999999785423   28896923     4660337.78
       8.000 0.999999809265   28896923     5242880.00
       8.000 0.999999833107   28896923     5991862.86
       8.000 0.999999856949   28896923     6990506.67
       8.000 0.999999880791   28896923     8388608.00
       8.000 0.999999892712   28896923     9320675.55
       8.000 0.999999904633   28896923    10485760.00
       8.000 0.999999916553   28896923    11983725.71
       8.000 0.999999928474   28896923    13981013.34
       8.000 0.999999940395   28896923    16777216.00
       8.000 0.999999946356   28896923    18641351.10
       8.000 0.999999952316   28896923    20971519.98
       8.000 0.999999958277   28896923    23967451.45
       8.000 0.999999964237   28896923    27962026.68
      14.000 0.999999970198   28896924    33554432.00
      14.000 1.000000000000   28896924
#[Mean    =        0.002, StdDeviation   =        0.042]
#[Max     =       14.000, Total count    =     28896924]
#[Buckets =            4, SubBuckets     =         2048]
