       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000    1015716           1.00
       0.000 0.100000000000    1015716           1.11
       0.000 0.200000000000    1015716           1.25
       1.000 0.300000000000    2590039           1.43
       1.000 0.400000000000    2590039           1.67
       1.000 0.500000000000    2590039           2.00
       1.000 0.550000000000    2590039           2.22
       2.000 0.600000000000    3301772           2.50
       2.000 0.650000000000    3301772           2.86
       2.000 0.700000000000    3301772           3.33
       3.000 0.750000000000    3729201           4.00
       3.000 0.775000000000    3729201           4.44
       3.000 0.800000000000    3729201           5.00
       4.000 0.825000000000    4004869           5.71
       4.000 0.850000000000    4004869           6.67
       4.000 0.875000000000    4004869           8.00
       5.000 0.887500000000    4188127           8.89
       5.000 0.900000000000    4188127          10.00
       5.000 0.912500000000    4188127          11.43
       6.000 0.925000000000    4311774          13.33
       6.000 0.937500000000    4311774          16.00
       7.000 0.943750000000    4395619          17.78
       7.000 0.950000000000    4395619          20.00
       7.000 0.956250000000    4395619          22.86
       8.000 0.962500000000    4452423          26.67
       8.000 0.968750000000    4452423          32.00
       8.000 0.971875000000    4452423          35.56
       9.000 0.975000000000    4490719          40.00
       9.000 0.978125000000    4490719          45.71
       9.000 0.981250000000    4490719          53.33
      10.000 0.984375000000    4516675          64.00
      10.000 0.985937500000    4516675          71.11
      10.000 0.987500000000    4516675          80.00
      11.000 0.989062500000    4534406          91.43
      11.000 0.990625000000    4534406         106.67
      12.000 0.992187500000    4546368         128.00
      12.000 0.992968750000    4546368         142.22
      12.000 0.993750000000    4546368         160.00
      13.000 0.994531250000    4554315         182.86
      13.000 0.995312500000    4554315         213.33
      13.000 0.996093750000    4554315         256.00
      14.000 0.996484375000    4559842         284.44
      14.000 0.996875000000    4559842         320.00
      14.000 0.997265625000    4559842         365.71
      15.000 0.997656250000    4563639         426.67
      15.000 0.998046875000    4563639         512.00
      16.000 0.998242187500    4566278         568.89
      16.000 0.998437500000    4566278         640.00
      16.000 0.998632812500    4566278         731.43
      17.000 0.998828125000    4568064         853.33
      17.000 0.999023437500    4568064        1024.00
      17.000 0.999121093750    4568064        1137.78
      18.000 0.999218750000    4569252        1280.00
      18.000 0.999316406250    4569252        1462.86
      18.000 0.999414062500    4569252        1706.67
      19.000 0.999511718750    4570095        2048.00
      19.000 0.999560546875    4570095        2275.56
      20.000 0.999609375000    4570681        2560.00
      20.000 0.999658203125    4570681        2925.71
      20.000 0.999707031250    4570681        3413.33
      21.000 0.999755859375    4571081        4096.00
      21.000 0.999780273438    4571081        4551.11
      21.000 0.999804687500    4571081        5120.00
      22.000 0.999829101563    4571345        5851.43
      22.000 0.999853515625    4571345        6826.67
      23.000 0.999877929688    4571533        8192.00
      23.000 0.999890136719    4571533        9102.22
      23.000 0.999902343750    4571533       10240.00
      23.000 0.999914550781    4571533       11702.86
      24.000 0.999926757813    4571659       13653.33
      24.000 0.999938964844    4571659       16384.00
      25.000 0.999945068359    4571721       18204.44
      25.000 0.999951171875    4571721       20480.00
      25.000 0.999957275391    4571721       23405.71
      26.000 0.999963378906    4571784       27306.67
      26.000 0.999969482422    4571784       32768.00
      27.000 0.999972534180    4571831       36408.89
      27.000 0.999975585938    4571831       40960.00
      27.000 0.999978637695    4571831       46811.43
      27.000 0.999981689453    4571831       54613.33
      28.000 0.999984741211    4571857       65536.00
      28.000 0.999986267090    4571857       72817.78
      29.000 0.999987792969    4571872       81920.00
      29.000 0.999989318848    4571872       93622.86
      29.000 0.999990844727    4571872      109226.67
      30.000 0.999992370605    4571888      131072.00
      30.000 0.999993133545    4571888      145635.56
      30.000 0.999993896484    4571888      163840.00
      31.000 0.999994659424    4571894      187245.71
      31.000 0.999995422363    4571894      218453.33
      32.000 0.999996185303    4571898      262144.00
      32.000 0.999996566772    4571898      291271.11
      33.000 0.999996948242    4571903      327680.00
      33.000 0.999997329712    4571903      374491.43
      33.000 0.999997711182    4571903      436906.67
      34.000 0.999998092651    4571907      524288.00
      34.000 0.999998283386    4571907      582542.22
      34.000 0.999998474121    4571907      655360.00
      34.000 0.999998664856    4571907      748982.86
      35.000 0.999998855591    4571908      873813.33
      36.000 0.999999046326    4571910     1048576.00
      36.000 0.999999141693    4571910     1165084.44
      36.000 0.999999237061    4571910     1310720.00
      36.000 0.999999332428    4571910     1497965.71
      37.000 0.999999427795    4571912     1747626.67
      37.000 0.999999523163    4571912     2097152.00
      37.000 0.999999570847    4571912     2330168.89
      37.000 0.999999618530    4571912     2621440.00
      37.000 0.999999666214    4571912     2995931.43
      37.000 0.999999713898    4571912     3495253.33
      37.000 0.999999761581    4571912     4194304.00
      39.000 0.999999785423    4571913     4660337.78
      39.000 1.000000000000    4571913
#[Mean    =        2.059, StdDeviation   =        2.371]
#[Max     =       39.000, Total count    =      4571913]
#[Buckets =            4, SubBuckets     =         2048]
