       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   22113146           1.00
       0.000 0.100000000000   22113146           1.11
       0.000 0.200000000000   22113146           1.25
       0.000 0.300000000000   22113146           1.43
       0.000 0.400000000000   22113146           1.67
       0.000 0.500000000000   22113146           2.00
       0.000 0.550000000000   22113146           2.22
       0.000 0.600000000000   22113146           2.50
       0.000 0.650000000000   22113146           2.86
       0.000 0.700000000000   22113146           3.33
       0.000 0.750000000000   22113146           4.00
       0.000 0.775000000000   22113146           4.44
       0.000 0.800000000000   22113146           5.00
       1.000 0.825000000000   26966753           5.71
       1.000 0.850000000000   26966753           6.67
       1.000 0.875000000000   26966753           8.00
       1.000 0.887500000000   26966753           8.89
       1.000 0.900000000000   26966753          10.00
       1.000 0.912500000000   26966753          11.43
       1.000 0.925000000000   26966753          13.33
       1.000 0.937500000000   26966753          16.00
       1.000 0.943750000000   26966753          17.78
       1.000 0.950000000000   26966753          20.00
       1.000 0.956250000000   26966753          22.86
       1.000 0.962500000000   26966753          26.67
       1.000 0.968750000000   26966753          32.00
       1.000 0.971875000000   26966753          35.56
       1.000 0.975000000000   26966753          40.00
       1.000 0.978125000000   26966753          45.71
       1.000 0.981250000000   26966753          53.33
       1.000 0.984375000000   26966753          64.00
       1.000 0.985937500000   26966753          71.11
       1.000 0.987500000000   26966753          80.00
       1.000 0.989062500000   26966753          91.43
       1.000 0.990625000000   26966753         106.67
       1.000 0.992187500000   26966753         128.00
       1.000 0.992968750000   26966753         142.22
       2.000 0.993750000000   27103156         160.00
       2.000 0.994531250000   27103156         182.86
       2.000 0.995312500000   27103156         213.33
       2.000 0.996093750000   27103156         256.00
       2.000 0.996484375000   27103156         284.44
       2.000 0.996875000000   27103156         320.00
       2.000 0.997265625000   27103156         365.71
       2.000 0.997656250000   27103156         426.67
       2.000 0.998046875000   27103156         512.00
       2.000 0.998242187500   27103156         568.89
       3.000 0.998437500000   27126915         640.00
       3.000 0.998632812500   27126915         731.43
       3.000 0.998828125000   27126915         853.33
       3.000 0.999023437500   27126915        1024.00
       3.000 0.999121093750   27126915        1137.78
       3.000 0.999218750000   27126915        1280.00
       4.000 0.999316406250   27137346        1462.86
       4.000 0.999414062500   27137346        1706.67
       4.000 0.999511718750   27137346        2048.00
       4.000 0.999560546875   27137346        2275.56
       4.000 0.999609375000   27137346        2560.00
       4.000 0.999658203125   27137346        2925.71
       5.000 0.999707031250   27141281        3413.33
       5.000 0.999755859375   27141281        4096.00
       5.000 0.999780273438   27141281        4551.11
       5.000 0.999804687500   27141281        5120.00
       5.000 0.999829101563   27141281        5851.43
       6.000 0.999853515625   27142956        6826.67
       6.000 0.999877929688   27142956        8192.00
       6.000 0.999890136719   27142956        9102.22
       7.000 0.999902343750   27143733       10240.00
       7.000 0.999914550781   27143733       11702.86
       8.000 0.999926757813   27144189       13653.33
       8.000 0.999938964844   27144189       16384.00
       9.000 0.999945068359   27144441       18204.44
      10.000 0.999951171875   27144780       20480.00
      10.000 0.999957275391   27144780       23405.71
      11.000 0.999963378906   27145157       27306.67
      11.000 0.999969482422   27145157       32768.00
      11.000 0.999972534180   27145157       36408.89
      11.000 0.999975585938   27145157       40960.00
      12.000 0.999978637695   27145444       46811.43
      12.000 0.999981689453   27145444       54613.33
      12.000 0.999984741211   27145444       65536.00
      12.000 0.999986267090   27145444       72817.78
      14.000 0.999987792969   27145512       81920.00
      15.000 0.999989318848   27145619       93622.86
      15.000 0.999990844727   27145619      109226.67
      15.000 0.999992370605   27145619      131072.00
      15.000 0.999993133545   27145619      145635.56
      16.000 0.999993896484   27145675      163840.00
      16.000 0.999994659424   27145675      187245.71
      17.000 0.999995422363   27145706      218453.33
      17.000 0.999996185303   27145706      262144.00
      20.000 0.999996566772   27145752      291271.11
      20.000 0.999996948242   27145752      327680.00
      20.000 0.999997329712   27145752      374491.43
      20.000 0.999997711182   27145752      436906.67
      21.000 0.999998092651   27145804      524288.00
      21.000 0.999998283386   27145804      582542.22
      21.000 0.999998474121   27145804      655360.00
      21.000 0.999998664856   27145804      748982.86
      21.000 0.999998855591   27145804      873813.33
      21.000 0.999999046326   27145804     1048576.00
      21.000 0.999999141693   27145804     1165084.44
      21.000 0.999999237061   27145804     1310720.00
      21.000 0.999999332428   27145804     1497965.71
      21.000 0.999999427795   27145804     1747626.67
      21.000 0.999999523163   27145804     2097152.00
      21.000 0.999999570847   27145804     2330168.89
      21.000 0.999999618530   27145804     2621440.00
      21.000 0.999999666214   27145804     2995931.43
      21.000 0.999999713898   27145804     3495253.33
      21.000 0.999999761581   27145804     4194304.00
      21.000 0.999999785423   27145804     4660337.78
      21.000 0.999999809265   27145804     5242880.00
      21.000 0.999999833107   27145804     5991862.86
      21.000 0.999999856949   27145804     6990506.67
      21.000 0.999999880791   27145804     8388608.00
      21.000 0.999999892712   27145804     9320675.55
      21.000 0.999999904633   27145804    10485760.00
      21.000 0.999999916553   27145804    11983725.71
      21.000 0.999999928474   27145804    13981013.34
      21.000 0.999999940395   27145804    16777216.00
      21.000 0.999999946356   27145804    18641351.10
      21.000 0.999999952316   27145804    20971519.98
      21.000 0.999999958277   27145804    23967451.45
      22.000 0.999999964237   27145805    27962026.68
      22.000 1.000000000000   27145805
#[Mean    =        0.195, StdDeviation   =        0.438]
#[Max     =       22.000, Total count    =     27145805]
#[Buckets =            4, SubBuckets     =         2048]
