       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   28961756           1.00
       0.000 0.100000000000   28961756           1.11
       0.000 0.200000000000   28961756           1.25
       0.000 0.300000000000   28961756           1.43
       0.000 0.400000000000   28961756           1.67
       0.000 0.500000000000   28961756           2.00
       0.000 0.550000000000   28961756           2.22
       0.000 0.600000000000   28961756           2.50
       0.000 0.650000000000   28961756           2.86
       0.000 0.700000000000   28961756           3.33
       0.000 0.750000000000   28961756           4.00
       0.000 0.775000000000   28961756           4.44
       0.000 0.800000000000   28961756           5.00
       0.000 0.825000000000   28961756           5.71
       0.000 0.850000000000   28961756           6.67
       0.000 0.875000000000   28961756           8.00
       0.000 0.887500000000   28961756           8.89
       0.000 0.900000000000   28961756          10.00
       0.000 0.912500000000   28961756          11.43
       0.000 0.925000000000   28961756          13.33
       0.000 0.937500000000   28961756          16.00
       0.000 0.943750000000   28961756          17.78
       0.000 0.950000000000   28961756          20.00
       0.000 0.956250000000   28961756          22.86
       0.000 0.962500000000   28961756          26.67
       0.000 0.968750000000   28961756          32.00
       0.000 0.971875000000   28961756          35.56
       0.000 0.975000000000   28961756          40.00
       0.000 0.978125000000   28961756          45.71
       0.000 0.981250000000   28961756          53.33
       0.000 0.984375000000   28961756          64.00
       0.000 0.985937500000   28961756          71.11
       0.000 0.987500000000   28961756          80.00
       0.000 0.989062500000   28961756          91.43
       0.000 0.990625000000   28961756         106.67
       0.000 0.992187500000   28961756         128.00
       0.000 0.992968750000   28961756         142.22
       0.000 0.993750000000   28961756         160.00
       0.000 0.994531250000   28961756         182.86
       0.000 0.995312500000   28961756         213.33
       0.000 0.996093750000   28961756         256.00
       0.000 0.996484375000   28961756         284.44
       0.000 0.996875000000   28961756         320.00
       0.000 0.997265625000   28961756         365.71
       0.000 0.997656250000   28961756         426.67
       0.000 0.998046875000   28961756         512.00
       0.000 0.998242187500   28961756         568.89
       0.000 0.998437500000   28961756         640.00
       0.000 0.998632812500   28961756         731.43
       0.000 0.998828125000   28961756         853.33
       0.000 0.999023437500   28961756        1024.00
       0.000 0.999121093750   28961756        1137.78
       0.000 0.999218750000   28961756        1280.00
       0.000 0.999316406250   28961756        1462.86
       0.000 0.999414062500   28961756        1706.67
       0.000 0.999511718750   28961756        2048.00
       0.000 0.999560546875   28961756        2275.56
       0.000 0.999609375000   28961756        2560.00
       0.000 0.999658203125   28961756        2925.71
       0.000 0.999707031250   28961756        3413.33
       0.000 0.999755859375   28961756        4096.00
       0.000 0.999780273438   28961756        4551.11
       0.000 0.999804687500   28961756        5120.00
       0.000 0.999829101563   28961756        5851.43
       0.000 0.999853515625   28961756        6826.67
       0.000 0.999877929688   28961756        8192.00
       0.000 0.999890136719   28961756        9102.22
       0.000 0.999902343750   28961756       10240.00
       0.000 0.999914550781   28961756       11702.86
       0.000 0.999926757813   28961756       13653.33
       0.000 0.999938964844   28961756       16384.00
       0.000 0.999945068359   28961756       18204.44
       0.000 0.999951171875   28961756       20480.00
       0.000 0.999957275391   28961756       23405.71
       0.000 0.999963378906   28961756       27306.67
       0.000 0.999969482422   28961756       32768.00
       0.000 0.999972534180   28961756       36408.89
       0.000 0.999975585938   28961756       40960.00
       0.000 0.999978637695   28961756       46811.43
       0.000 0.999981689453   28961756       54613.33
       0.000 0.999984741211   28961756       65536.00
       1.000 0.999986267090   28962164       72817.78
       1.000 1.000000000000   28962164
#[Mean    =        0.000, StdDeviation   =        0.004]
#[Max     =        1.000, Total count    =     28962164]
#[Buckets =            4, SubBuckets     =         2048]
