       Value     Percentile TotalCount 1/(1-Percentile)
       0.000 0.000000000000   28938117           1.00
       0.000 0.100000000000   28938117           1.11
       0.000 0.200000000000   28938117           1.25
       0.000 0.300000000000   28938117           1.43
       0.000 0.400000000000   28938117           1.67
       0.000 0.500000000000   28938117           2.00
       0.000 0.550000000000   28938117           2.22
       0.000 0.600000000000   28938117           2.50
       0.000 0.650000000000   28938117           2.86
       0.000 0.700000000000   28938117           3.33
       0.000 0.750000000000   28938117           4.00
       0.000 0.775000000000   28938117           4.44
       0.000 0.800000000000   28938117           5.00
       0.000 0.825000000000   28938117           5.71
       0.000 0.850000000000   28938117           6.67
       0.000 0.875000000000   28938117           8.00
       0.000 0.887500000000   28938117           8.89
       0.000 0.900000000000   28938117          10.00
       0.000 0.912500000000   28938117          11.43
       0.000 0.925000000000   28938117          13.33
       0.000 0.937500000000   28938117          16.00
       0.000 0.943750000000   28938117          17.78
       0.000 0.950000000000   28938117          20.00
       0.000 0.956250000000   28938117          22.86
       0.000 0.962500000000   28938117          26.67
       0.000 0.968750000000   28938117          32.00
       0.000 0.971875000000   28938117          35.56
       0.000 0.975000000000   28938117          40.00
       0.000 0.978125000000   28938117          45.71
       0.000 0.981250000000   28938117          53.33
       0.000 0.984375000000   28938117          64.00
       0.000 0.985937500000   28938117          71.11
       0.000 0.987500000000   28938117          80.00
       0.000 0.989062500000   28938117          91.43
       0.000 0.990625000000   28938117         106.67
       0.000 0.992187500000   28938117         128.00
       0.000 0.992968750000   28938117         142.22
       0.000 0.993750000000   28938117         160.00
       0.000 0.994531250000   28938117         182.86
       0.000 0.995312500000   28938117         213.33
       0.000 0.996093750000   28938117         256.00
       0.000 0.996484375000   28938117         284.44
       0.000 0.996875000000   28938117         320.00
       0.000 0.997265625000   28938117         365.71
       0.000 0.997656250000   28938117         426.67
       0.000 0.998046875000   28938117         512.00
       0.000 0.998242187500   28938117         568.89
       0.000 0.998437500000   28938117         640.00
       0.000 0.998632812500   28938117         731.43
       0.000 0.998828125000   28938117         853.33
       0.000 0.999023437500   28938117        1024.00
       0.000 0.999121093750   28938117        1137.78
       0.000 0.999218750000   28938117        1280.00
       0.000 0.999316406250   28938117        1462.86
       0.000 0.999414062500   28938117        1706.67
       0.000 0.999511718750   28938117        2048.00
       0.000 0.999560546875   28938117        2275.56
       0.000 0.999609375000   28938117        2560.00
       0.000 0.999658203125   28938117        2925.71
       0.000 0.999707031250   28938117        3413.33
       0.000 0.999755859375   28938117        4096.00
       0.000 0.999780273438   28938117        4551.11
       0.000 0.999804687500   28938117        5120.00
       0.000 0.999829101563   28938117        5851.43
       0.000 0.999853515625   28938117        6826.67
       0.000 0.999877929688   28938117        8192.00
       0.000 0.999890136719   28938117        9102.22
       0.000 0.999902343750   28938117       10240.00
       0.000 0.999914550781   28938117       11702.86
       0.000 0.999926757813   28938117       13653.33
       0.000 0.999938964844   28938117       16384.00
       0.000 0.999945068359   28938117       18204.44
       0.000 0.999951171875   28938117       20480.00
       0.000 0.999957275391   28938117       23405.71
       0.000 0.999963378906   28938117       27306.67
       0.000 0.999969482422   28938117       32768.00
       0.000 0.999972534180   28938117       36408.89
       0.000 0.999975585938   28938117       40960.00
       0.000 0.999978637695   28938117       46811.43
       0.000 0.999981689453   28938117       54613.33
       0.000 0.999984741211   28938117       65536.00
       0.000 0.999986267090   28938117       72817.78
       0.000 0.999987792969   28938117       81920.00
       0.000 0.999989318848   28938117       93622.86
       0.000 0.999990844727   28938117      109226.67
       0.000 0.999992370605   28938117      131072.00
       0.000 0.999993133545   28938117      145635.56
       0.000 0.999993896484   28938117      163840.00
       1.000 0.999994659424   28938274      187245.71
       1.000 0.999995422363   28938274      218453.33
       1.000 0.999996185303   28938274      262144.00
       1.000 0.999996566772   28938274      291271.11
       1.000 0.999996948242   28938274      327680.00
       1.000 0.999997329712   28938274      374491.43
       1.000 0.999997711182   28938274      436906.67
       1.000 0.999998092651   28938274      524288.00
       1.000 0.999998283386   28938274      582542.22
       1.000 0.999998474121   28938274      655360.00
       1.000 0.999998664856   28938274      748982.86
       1.000 0.999998855591   28938274      873813.33
       1.000 0.999999046326   28938274     1048576.00
       1.000 0.999999141693   28938274     1165084.44
       1.000 0.999999237061   28938274     1310720.00
       1.000 0.999999332428   28938274     1497965.71
       1.000 0.999999427795   28938274     1747626.67
       1.000 0.999999523163   28938274     2097152.00
       1.000 0.999999570847   28938274     2330168.89
       1.000 0.999999618530   28938274     2621440.00
       1.000 0.999999666214   28938274     2995931.43
       1.000 0.999999713898   28938274     3495253.33
       1.000 0.999999761581   28938274     4194304.00
       1.000 0.999999785423   28938274     4660337.78
       1.000 0.999999809265   28938274     5242880.00
       1.000 0.999999833107   28938274     5991862.86
       1.000 0.999999856949   28938274     6990506.67
       1.000 0.999999880791   28938274     8388608.00
       1.000 0.999999892712   28938274     9320675.55
       2.000 0.999999904633   28938277    10485760.00
       2.000 1.000000000000   28938277
#[Mean    =        0.000, StdDeviation   =        0.002]
#[Max     =        2.000, Total count    =     28938277]
#[Buckets =            4, SubBuckets     =         2048]
